65.5	-168	31.528
65.5	-166.5	31.036
60.5	-166	35.841
64.5	-165.5	32.495
68.25	-165.5	53.86
62	-164.5	29.932
65.75	-164.5	31.043
65	-164	34.29
60.5	-163.5	48.48
62.75	-163.5	33.324
67.75	-163	31.247
68	-163	41.543
68.5	-163	52.456
61.25	-162.5	35.635
65.5	-162.5	31.796
60.75	-162	35.239
64.75	-162	32.622
67	-162	27.27
69.25	-162	24.737
59.25	-161.5	38.488
60	-161.5	36.606
61.75	-161.5	30.408
62.25	-161.5	34.969
65.5	-161.5	34.492
66.5	-161	31.773
68.75	-161	40.7
70.25	-161	37.018
60.75	-160.5	34.107
63.25	-160.5	37.573
64	-160.5	32.681
65.5	-160.5	32.564
67.5	-160.5	30.304
59.25	-160	38.005
60.25	-160	40.994
65	-160	38.757
61.75	-159.5	35.058
66.5	-159.5	39.708
69	-159.5	42.795
60.5	-159	37.003
61	-159	36.139
63.5	-159	32.177
62.25	-158.5	34.407
62.75	-158.5	33.39
65.25	-158.5	40.984
66	-158.5	33.982
59	-158	26.608
59.5	-158	35.416
66.75	-158	35.058
68.5	-158	42.978
61.5	-157.5	30.936
59.75	-157	34.926
60.5	-157	35.337
64.75	-157	36.541
66.25	-157	33.85
67.5	-157	34.582
70	-157	32.69
57.75	-156.5	30.526
58.75	-156.5	40.058
59.25	-156.5	44.386
62.25	-156.5	32.945
63.5	-156.5	34.882
65.5	-156.5	34.092
68.75	-156.5	45.277
71.25	-156.5	31.063
58.25	-156	34.326
60.75	-156	33.054
61.5	-156	31.442
63	-156	36.945
68.25	-156	47.358
58.25	-155.5	37.179
61	-155.5	36.828
64	-155.5	34.465
64.75	-155.5	34.258
67	-155.5	29.363
58.25	-155	26.665
58.75	-155	32.213
59.5	-155	34.56
59.75	-155	36.695
62.25	-155	36.09
65.5	-155	33.181
69.25	-155	49.649
71	-155	49.532
57.5	-154.5	46.257
60.25	-154.5	35.218
60.75	-154.5	33.581
62	-154.5	40.491
64.75	-154.5	39.708
69.5	-154.5	38.538
62.5	-154	33.515
63.25	-154	32.922
64.25	-154	34.926
68.5	-154	47
57.25	-153.5	35.426
59	-153.5	28.713
59.25	-153.5	24.601
66.5	-153.5	37.588
67.25	-153.5	40.44
70.25	-153.5	29.649
59.75	-153	33.73
60.5	-153	40.975
62	-153	38.452
65.75	-153	32.088
57.75	-152.5	40.099
58.5	-152.5	37.794
60	-152.5	36.667
60.5	-152.5	37.588
61.25	-152.5	24.445
64	-152.5	29.951
69	-152.5	51.871
61.25	-152	38.971
63	-152	39.903
63.5	-152	33.571
65.25	-152	29.492
67.5	-152	46.225
68.25	-152	44.463
59.75	-151.5	23.744
62	-151.5	35.078
66	-151.5	34.532
67	-151.5	36.227
59.5	-151	38.5
59.75	-151	46.733
60.5	-151	31.1
60.75	-151	32.7
61.5	-151	30.403
62.5	-151	36.985
63.5	-151	31.447
64	-151	31.526
59.75	-150.5	34.375
60.5	-150.5	48.113
60.75	-150.5	53
61.5	-150.5	35.2
62.25	-150.5	34.175
62.5	-150.5	33.946
63.5	-150.5	37.566
65	-150.5	32.062
66.25	-150.5	34.725
66.75	-150.5	34.842
69	-150.5	47.066
69.75	-150.5	33.096
59.75	-150	34.89
60.5	-150	44.217
61.25	-150	30.5
61.5	-150	55.754
61.75	-150	28.098
62.25	-150	28.789
62.5	-150	36.937
62.75	-150	39.891
63.5	-150	35.021
64.75	-150	30.461
66.75	-150	32.981
67.25	-150	37.047
67.5	-150	39.982
67.75	-150	42.202
60	-149.5	40.496
