65.5	-168	31.528155	1.878294814
65.5	-166.5	31.035675	1.181822919
60.5	-166	35.840935	0.340733545
64.5	-165.5	32.49542	0.835623985
68.25	-165.5	53.85965	0
62	-164.5	29.932165	1.227304027
65.75	-164.5	31.043275	0.344042804
65	-164	34.29006	1.541577636
60.5	-163.5	48.47953	0
62.75	-163.5	33.323975	3.569439676
67.75	-163	31.246785	4.025961956
68	-163	41.54264	0.767408847
68.5	-163	52.45614	0
61.25	-162.5	35.63509	3.443737304
65.5	-162.5	31.795905	2.256950495
60.75	-162	35.238595	7.974177522
64.75	-162	32.62222	2.577008238
67	-162	27.270175	1.597813838
69.25	-162	24.73684	0
59.25	-161.5	38.48772	2.386796513
60	-161.5	36.606435	7.363010989
61.75	-161.5	30.407605	1.403458468
62.25	-161.5	34.969005	5.047335275
65.5	-161.5	34.49182	0
66.5	-161	31.7731	4.770283767
68.75	-161	40.7	13.15218613
70.25	-161	37.01754	0
60.75	-160.5	34.10702	2.131248123
63.25	-160.5	37.572515	5.335141877
64	-160.5	32.6807	2.659711447
65.5	-160.5	32.563745	2.4943121
67.5	-160.5	30.30351	3.540497796
59.25	-160	38.00468	3.400731069
60.25	-160	40.99415	0
65	-160	38.75731	5.31363876
61.75	-159.5	35.057895	1.778932169
66.5	-159.5	39.7076	0
69	-159.5	42.794735	4.235194853
60.5	-159	37.002925	2.832563699
61	-159	36.138595	6.701385316
63.5	-159	32.177195	0.597936565
62.25	-158.5	34.40702	1.706984054
62.75	-158.5	33.39006	2.814369842
65.25	-158.5	40.983625	3.653797515
66	-158.5	33.982455	2.803614748
59	-158	26.60819	0
59.5	-158	35.416375	1.437371309
66.75	-158	35.057895	1.778932169
68.5	-158	42.97778	3.645531437
61.5	-157.5	30.935675	1.323244275
59.75	-157	34.92573	3.289078908
60.5	-157	35.337425	2.916921538
64.75	-157	36.54077	3.876034105
66.25	-157	33.850295	4.313768558
67.5	-157	34.582455	1.95508661
70	-157	32.69006	0
57.75	-156.5	30.52632	3.721616126
58.75	-156.5	40.05848	0
59.25	-156.5	44.38597	0
62.25	-156.5	32.94503	0.360582032
63.5	-156.5	34.882455	1.530822542
65.5	-156.5	34.091815	3.80680128
68.75	-156.5	45.277195	9.160137015
71.25	-156.5	31.062865	3.624438442
58.25	-156	34.32573	4.137607046
60.75	-156	33.054385	0.64259743
61.5	-156	31.44152	2.204023553
63	-156	36.94509	0
68.25	-156	47.35848	3.901079828
58.25	-155.5	37.17874	0
61	-155.5	36.82827	0
64	-155.5	34.465495	1.789680192
64.75	-155.5	34.25818	0
67	-155.5	29.362575	3.729882205
58.25	-155	26.66472	0
58.75	-155	32.212865	1.998092845
59.5	-155	34.55965	4.468419882
59.75	-155	36.69532	4.094600811
62.25	-155	36.09006	1.004006776
65.5	-155	33.1807	1.952604666
